date_participation,code_postal,empreinte_moyenne,logement_type,logement_superficie_m2,logement_nb_habitants,logement_type_chauffage,logement_isolation,logement_temperature_chauffage,transport_km_voiture,transport_km_voiture_electrique,transport_km_train,transport_km_bus,transport_km_metro,transport_km_tram,transport_km_velo,transport_km_velo_electrique,transport_km_trottinette,transport_km_moto,transport_nb_vols_avion,alimentation_repas_viande_semaine,alimentation_eau_bouteille,alimentation_petits_electromenager,alimentation_gros_electromenager,alimentation_freq_remplacement,vetements_neufs_an,divertissement_petits_electromenager,divertissement_gros_electromenager,divertissement_freq_remplacement,divertissement_appareils_numeriques,divertissement_heures_video_jour,divertissement_qualite_video,impact_logement,impact_transport,impact_alimentation,impact_vetements,impact_divertissement,impact_total
2025-03-07,1120,10.19,Maison,108,2,Bois,Moyennement isolé,21,10836,11344,4357,1257,634,1443,1951,0,433,6737,5,7,Non,2,5,Plus de 15 ans,33,5,4,Plus de 15 ans,3,2,HD,1.53,6.12,0.69,0.66,1.95,11.24
2025-04-26,1082,8.32,Studio,28,1,Pompe à chaleur,Mal isolé,22,12597,0,6048,1676,2085,1202,306,0,84,0,0,4,Oui,5,4,10-15 ans,45,7,3,Moins de 5 ans,10,3,SD,1.76,2.76,0.65,0.9,2.92,9.93
2025-03-12,1000,10.75,Colocation,117,3,Fioul,Mal isolé,22,14314,0,7510,3689,816,268,6,0,272,795,1,4,Non,8,3,5-10 ans,30,8,6,Plus de 15 ans,3,8,4K,1.65,3.88,0.53,0.6,7.51,15.65
2025-05-22,1040,9.78,Maison,172,3,Pompe à chaleur,Moyennement isolé,18,11493,0,632,4732,264,1193,1650,0,299,0,2,11,Non,7,3,Moins de 5 ans,35,4,3,Plus de 15 ans,3,4,SD,1.61,3.72,0.8,0.7,3.73,9.06
2025-06-13,1082,8.48,Studio,22,6,Électrique,Moyennement isolé,22,18537,0,7446,1791,2661,942,61,0,25,0,1,10,Non,3,3,Moins de 5 ans,7,2,4,5-10 ans,6,6,SD,0.27,4.48,0.72,0.14,5.6,12.71
2025-05-13,1040,11.32,Studio,28,3,Bois,Mal isolé,19,13118,0,1867,820,2671,685,107,0,4,0,1,13,Oui,4,4,10-15 ans,48,5,6,Moins de 5 ans,5,5,HD,0.62,3.23,1.0,0.96,4.74,11.27
2025-03-13,1050,11.58,Maison,175,3,Électrique,Bien isolé,20,18628,0,2292,4364,2059,1864,993,0,318,0,1,12,Non,4,5,Moins de 5 ans,16,2,3,5-10 ans,6,6,SD,1.57,4.66,0.91,0.32,5.59,12.27
2025-04-29,1210,11.67,Colocation,65,3,Électrique,Mal isolé,19,7399,0,3205,2214,2916,1973,1619,365,56,0,4,8,Non,2,5,Plus de 15 ans,11,8,5,5-10 ans,10,4,HD,1.0,3.73,0.73,0.22,3.88,10.46
2025-02-12,1120,8.92,Appartement,46,3,Fioul,Mal isolé,18,8746,0,4996,2290,2107,501,1648,0,445,0,1,11,Oui,2,6,Plus de 15 ans,37,4,6,Plus de 15 ans,9,7,4K,1.31,2.56,1.0,0.74,6.66,12.77
2025-05-16,1080,10.95,Colocation,103,4,Bois,Bien isolé,18,7436,0,7636,621,2506,1168,1153,1548,374,6427,1,14,Non,2,5,Plus de 15 ans,46,8,4,5-10 ans,5,6,4K,0.77,2.84,0.97,0.92,5.68,9.84
2025-06-18,1210,10.21,Maison,137,1,Gaz,Mal isolé,20,17634,0,174,3736,1166,1957,825,0,353,2058,3,5,Non,4,6,10-15 ans,32,5,3,Plus de 15 ans,5,6,SD,5.04,5.58,0.68,0.64,5.59,20.87
2025-05-22,1000,9.34,Maison,181,3,Électrique,Bien isolé,19,1904,0,7930,1499,396,116,472,0,383,0,2,13,Oui,2,5,Plus de 15 ans,41,7,3,Plus de 15 ans,2,1,SD,1.64,1.65,1.03,0.82,0.99,5.48
2025-02-26,1000,10.55,Maison,174,2,Pompe à chaleur,Moyennement isolé,22,224,9836,1063,4830,2785,1271,265,0,454,1919,0,0,Non,4,6,10-15 ans,50,2,6,10-15 ans,2,7,4K,2.24,1.2,0.48,1.0,6.57,10.55
2025-05-31,1180,8.25,Maison,148,1,Pompe à chaleur,Mal isolé,23,10228,0,4473,1210,1772,1148,459,2247,7,0,2,3,Oui,6,4,5-10 ans,32,7,5,5-10 ans,8,1,HD,4.06,3.22,0.62,0.64,1.12,10.51
2025-02-13,1210,11.96,Colocation,69,3,Fioul,Mal isolé,18,21942,0,4390,882,2068,227,1321,1630,358,0,2,10,Oui,8,4,5-10 ans,20,2,6,Plus de 15 ans,10,5,4K,1.46,5.57,0.92,0.4,4.84,14.12
2025-04-28,1081,8.81,Maison,85,1,Gaz,Très bien isolé,18,15754,2423,5958,1160,2678,1832,1806,0,469,0,0,11,Non,6,4,Moins de 5 ans,10,6,4,10-15 ans,3,0,4K,3.6,3.52,0.84,0.2,0.18,9.82
2025-04-13,1080,8.04,Maison,123,2,Fioul,Bien isolé,20,19599,0,754,4062,2052,679,1124,0,383,0,0,9,Oui,6,4,Moins de 5 ans,8,6,2,10-15 ans,9,1,4K,2.43,4.31,0.86,0.16,1.14,10.2
2025-01-07,1160,11.34,Colocation,133,3,Électrique,Bien isolé,20,2972,12246,7086,1249,1232,295,713,2485,351,0,0,14,Non,8,4,Plus de 15 ans,40,4,4,Moins de 5 ans,10,7,HD,1.29,1.45,0.98,0.8,6.6,12.39
2025-02-02,1040,9.38,Colocation,71,3,Pompe à chaleur,Mal isolé,23,6126,0,3416,1026,2965,1779,40,0,393,0,1,11,Oui,2,3,10-15 ans,9,2,2,5-10 ans,7,2,SD,0.84,1.92,0.85,0.18,1.94,4.69
2025-05-22,1083,11.66,Colocation,131,1,Fioul,Très bien isolé,20,4980,0,6808,4137,2104,53,86,0,465,0,0,5,Non,5,3,10-15 ans,7,6,4,10-15 ans,3,7,4K,4.82,1.48,0.54,0.14,6.57,15.8
2025-05-19,1180,8.95,Studio,35,2,Gaz,Mal isolé,22,17794,0,2715,1039,1583,459,329,2138,446,0,0,3,Oui,4,3,5-10 ans,48,2,2,5-10 ans,9,7,SD,1.4,3.74,0.55,0.96,6.53,10.69
2025-04-27,1130,8.88,Maison,105,2,Gaz,Mal isolé,19,15350,0,677,3031,1938,1837,109,0,480,0,3,3,Oui,6,6,Moins de 5 ans,21,2,5,Moins de 5 ans,6,3,HD,2.25,4.89,0.72,0.42,2.9,12.7
2025-04-04,1090,9.72,Appartement,104,3,Fioul,Moyennement isolé,23,10334,0,2345,3446,2564,604,1481,944,28,0,0,14,Oui,7,5,Moins de 5 ans,37,2,4,10-15 ans,5,5,SD,1.46,2.39,1.12,0.74,4.68,11.87
2025-01-17,1000,10.13,Studio,37,3,Bois,Moyennement isolé,22,2064,0,5363,2060,983,907,1914,875,34,0,5,9,Oui,7,6,10-15 ans,26,5,6,10-15 ans,2,2,SD,0.51,3.17,0.97,0.52,1.94,5.71
2025-03-17,1200,8.02,Studio,35,5,Bois,Bien isolé,21,19465,0,1739,1508,1146,811,666,773,349,0,4,1,Non,5,3,5-10 ans,7,2,4,Moins de 5 ans,9,8,SD,0.28,6.08,0.38,0.14,7.47,13.06
2025-02-27,1000,11.74,Colocation,140,1,Gaz,Bien isolé,18,14460,0,2531,4971,2974,1156,881,390,188,0,2,3,Non,8,5,5-10 ans,11,5,4,5-10 ans,10,6,SD,4.9,4.36,0.59,0.22,5.66,17.6
2025-05-11,1080,10.24,Appartement,46,1,Fioul,Bien isolé,21,23224,0,4421,685,2183,466,703,184,94,3874,4,4,Oui,7,6,10-15 ans,46,5,6,10-15 ans,4,3,HD,3.22,7.17,0.77,0.92,2.9,12.47
2024-12-30,1140,11.31,Maison,182,2,Électrique,Très bien isolé,23,9882,0,7140,4362,2904,1045,608,2957,119,0,2,14,Non,5,6,5-10 ans,36,7,6,Plus de 15 ans,5,2,SD,2.17,3.46,1.05,0.72,1.98,8.8
2025-03-19,1000,8.05,Colocation,60,4,Fioul,Bien isolé,23,24240,4742,1795,2049,2553,557,1137,2322,287,0,3,11,Non,6,6,10-15 ans,23,3,3,Plus de 15 ans,5,1,HD,0.82,6.82,0.94,0.46,1.04,10.62
2025-01-16,1040,11.71,Maison,82,1,Gaz,Très bien isolé,19,19897,1903,5266,2454,51,1006,705,0,292,0,3,2,Oui,8,6,5-10 ans,21,6,4,10-15 ans,5,0,HD,3.44,5.88,0.7,0.42,0.15,9.38
2025-01-09,1083,10.14,Studio,31,1,Bois,Bien isolé,19,18173,10407,4368,4573,399,1892,807,1872,334,7247,1,8,Oui,5,4,5-10 ans,36,2,4,Plus de 15 ans,5,5,HD,1.52,5.85,0.81,0.72,4.71,12.49
2025-03-01,1030,9.47,Colocation,87,4,Bois,Mal isolé,19,1722,14193,1366,1633,2151,456,1565,519,246,4993,0,14,Oui,5,5,Moins de 5 ans,15,5,4,10-15 ans,10,5,4K,0.76,1.74,1.1,0.3,4.83,7.61
2025-06-08,1120,10.14,Maison,172,3,Gaz,Très bien isolé,22,3257,0,5306,2288,2952,1098,1494,1334,382,0,0,3,Oui,5,4,Plus de 15 ans,45,8,4,Moins de 5 ans,6,4,HD,1.65,0.97,0.61,0.9,3.82,9.51
2025-01-07,1180,8.46,Appartement,65,4,Électrique,Moyennement isolé,18,13318,1174,5916,2334,1675,194,475,1067,224,0,2,7,Oui,3,5,10-15 ans,27,8,5,5-10 ans,6,8,SD,0.72,4.02,0.8,0.54,7.46,15.72
2025-01-06,1030,10.63,Colocation,118,3,Bois,Très bien isolé,23,14748,0,4624,1106,589,1539,1355,0,452,0,3,6,Non,3,5,Moins de 5 ans,45,4,2,Moins de 5 ans,10,2,HD,0.89,4.66,0.66,0.9,2.01,8.31
2025-04-11,1040,10.6,Colocation,104,4,Bois,Bien isolé,20,583,0,7132,1559,929,972,1703,0,118,0,3,3,Non,8,4,Plus de 15 ans,12,3,2,10-15 ans,8,3,SD,0.72,1.86,0.54,0.24,2.87,6.23
2025-06-06,1060,8.4,Studio,36,2,Gaz,Moyennement isolé,19,24609,0,7563,3215,888,305,490,725,206,0,1,7,Non,5,5,10-15 ans,43,3,5,Plus de 15 ans,9,3,HD,1.46,5.81,0.72,0.86,2.94,13.9
2025-06-16,1030,8.53,Maison,118,1,Bois,Mal isolé,20,123,0,6264,4793,833,545,1863,0,353,0,1,7,Oui,4,4,10-15 ans,29,3,2,10-15 ans,6,2,4K,3.56,1.04,0.76,0.58,2.01,8.91
2025-03-07,1020,8.1,Appartement,107,2,Électrique,Mal isolé,23,15650,3416,3531,535,2388,188,844,0,112,0,0,11,Non,7,6,10-15 ans,42,4,2,10-15 ans,6,7,HD,1.72,3.42,0.95,0.84,6.52,14.72
2025-04-10,1040,10.91,Maison,194,2,Pompe à chaleur,Mal isolé,22,14954,0,5701,3565,563,942,816,1119,125,0,2,0,Non,3,3,Moins de 5 ans,34,6,6,5-10 ans,5,3,4K,2.54,4.38,0.32,0.68,2.96,12.06
2025-01-23,1000,11.6,Colocation,124,2,Électrique,Moyennement isolé,21,7241,0,608,888,2062,1944,929,0,385,3146,0,10,Non,5,4,10-15 ans,48,2,2,10-15 ans,9,3,HD,1.89,1.9,0.79,0.96,2.9,7.77
2025-02-07,1040,9.53,Appartement,44,3,Pompe à chaleur,Moyennement isolé,21,24825,0,7131,4852,670,1198,479,0,204,0,4,10,Oui,5,6,5-10 ans,49,6,2,Plus de 15 ans,4,6,4K,0.66,7.48,0.99,0.98,5.64,18.84
2025-01-06,1090,11.18,Colocation,117,4,Électrique,Mal isolé,21,7546,0,1049,3892,977,825,23,1854,184,0,0,10,Non,2,4,5-10 ans,37,6,2,Moins de 5 ans,3,7,HD,0.96,1.86,0.76,0.74,6.49,12.61
2025-01-06,1030,11.86,Appartement,100,3,Pompe à chaleur,Mal isolé,23,19028,0,5950,4399,2787,823,253,0,89,0,2,6,Non,4,3,5-10 ans,40,7,2,5-10 ans,10,0,SD,1.03,5.27,0.57,0.8,0.17,6.81
2024-12-29,1180,10.31,Studio,32,2,Pompe à chaleur,Moyennement isolé,18,15498,0,2944,4600,1773,815,838,0,434,0,5,13,Oui,4,4,5-10 ans,17,8,6,5-10 ans,5,8,HD,1.02,6.07,1.0,0.34,7.48,12.89
2025-05-21,1020,11.23,Colocation,136,1,Pompe à chaleur,Moyennement isolé,22,18278,0,3640,2428,686,909,429,0,290,0,0,0,Non,2,5,10-15 ans,34,3,2,5-10 ans,8,4,HD,3.72,3.94,0.41,0.68,3.81,13.5
2025-01-21,1040,10.59,Colocation,136,4,Pompe à chaleur,Très bien isolé,22,19798,0,636,3517,1678,1107,89,0,450,0,2,0,Oui,2,6,Plus de 15 ans,35,5,5,Moins de 5 ans,2,2,SD,0.83,5.31,0.56,0.7,1.93,7.51
2025-04-18,1000,9.61,Colocation,99,4,Électrique,Bien isolé,19,8134,0,1480,1155,121,1233,636,1064,497,0,2,2,Oui,3,3,5-10 ans,28,4,2,10-15 ans,3,1,SD,0.82,2.8,0.5,0.56,0.98,5.82
2025-04-15,1000,9.15,Maison,122,3,Gaz,Mal isolé,21,10469,0,5025,4591,902,863,620,0,481,0,3,10,Oui,5,4,Plus de 15 ans,28,7,5,5-10 ans,2,3,4K,1.55,4.09,0.89,0.56,2.92,11.6
2025-05-01,1000,8.42,Colocation,72,2,Électrique,Moyennement isolé,22,18923,0,3709,320,2456,1349,1193,0,10,0,2,11,Oui,6,4,5-10 ans,35,2,2,10-15 ans,6,0,HD,1.32,4.88,0.94,0.7,0.13,6.68
2025-01-03,1090,10.78,Studio,33,2,Bois,Très bien isolé,21,23272,0,4323,3825,2108,643,1103,0,96,0,0,12,Non,8,6,Moins de 5 ans,26,3,6,Plus de 15 ans,7,1,4K,0.58,5.04,1.0,0.52,1.16,8.94
2025-01-12,1040,11.06,Maison,173,4,Électrique,Mal isolé,23,1763,12188,7389,3789,2998,1559,1608,0,118,0,0,0,Non,2,5,5-10 ans,15,7,5,10-15 ans,6,1,SD,1.19,1.4,0.41,0.3,1.07,4.93
2025-04-29,1160,9.27,Appartement,44,4,Bois,Mal isolé,20,17904,0,5704,1556,914,531,1150,0,34,0,0,2,Oui,2,5,Plus de 15 ans,46,4,5,Plus de 15 ans,7,7,SD,0.52,3.8,0.59,0.92,6.55,10.73
2025-01-11,1080,10.08,Appartement,82,4,Gaz,Mal isolé,19,2824,3704,1225,948,2987,1190,938,0,78,0,1,11,Non,2,6,10-15 ans,8,3,4,5-10 ans,2,0,HD,1.01,1.37,0.9,0.16,0.11,4.13
2025-04-12,1080,8.61,Colocation,79,2,Fioul,Très bien isolé,21,18512,0,4017,2701,1076,239,465,0,93,0,2,0,Oui,8,5,Moins de 5 ans,40,7,6,5-10 ans,4,8,SD,1.84,4.99,0.57,0.8,7.44,12.79
2025-06-01,1070,10.74,Maison,106,4,Gaz,Moyennement isolé,23,10548,0,340,1774,2655,1053,838,0,254,0,0,0,Non,3,6,5-10 ans,22,4,2,5-10 ans,7,1,4K,0.98,2.3,0.47,0.44,1.11,5.18
2025-05-14,1040,8.63,Studio,30,2,Pompe à chaleur,Bien isolé,18,12432,0,324,1265,1936,1050,870,2989,367,0,4,13,Non,8,5,Plus de 15 ans,11,3,6,Moins de 5 ans,8,5,HD,0.9,4.65,0.99,0.22,4.77,12.84
2025-05-20,1030,10.2,Appartement,116,4,Électrique,Très bien isolé,21,3601,0,6629,3200,1933,1468,1133,0,314,0,0,4,Oui,2,4,5-10 ans,45,6,6,Moins de 5 ans,2,4,SD,0.8,1.12,0.62,0.9,3.77,8.22
2024-12-31,1000,10.31,Maison,112,2,Pompe à chaleur,Moyennement isolé,23,11720,5823,352,4106,1325,661,534,0,453,0,1,13,Oui,5,3,10-15 ans,20,6,6,Plus de 15 ans,10,8,4K,1.57,3.52,0.96,0.4,7.59,16.63
2025-04-08,1030,8.08,Studio,28,4,Pompe à chaleur,Très bien isolé,19,12719,0,7627,286,2339,1301,749,0,24,0,2,1,Oui,3,3,Plus de 15 ans,34,5,3,Moins de 5 ans,10,8,SD,0.37,3.69,0.46,0.68,7.47,11.81
2025-01-23,1180,10.04,Maison,105,5,Pompe à chaleur,Mal isolé,18,11326,8080,4737,1119,1447,479,1107,0,361,0,4,11,Non,6,3,5-10 ans,14,4,3,5-10 ans,4,5,4K,0.74,4.87,0.79,0.28,4.74,12.59
2025-04-15,1200,8.01,Appartement,78,4,Pompe à chaleur,Bien isolé,21,9019,1592,1054,918,361,1524,1720,0,471,0,2,4,Non,2,4,10-15 ans,31,7,2,Moins de 5 ans,3,6,4K,0.61,3.03,0.52,0.62,5.63,8.72
2025-05-25,1140,8.3,Colocation,122,3,Pompe à chaleur,Bien isolé,18,20310,0,2743,780,2889,621,1299,0,201,1558,3,2,Oui,4,3,5-10 ans,45,3,4,Moins de 5 ans,6,4,SD,1.21,5.86,0.51,0.9,3.78,10.31
2025-01-29,1040,11.05,Colocation,150,6,Électrique,Moyennement isolé,19,13105,5523,2987,267,347,320,1228,978,42,0,1,6,Non,5,6,Plus de 15 ans,27,5,4,Plus de 15 ans,10,3,HD,0.75,3.47,0.73,0.54,2.95,7.57
2025-05-13,1140,9.85,Studio,36,3,Pompe à chaleur,Moyennement isolé,19,2798,0,7361,4740,2702,1221,3,0,241,0,3,1,Non,5,3,Plus de 15 ans,8,8,3,Plus de 15 ans,5,2,HD,0.67,2.59,0.38,0.16,1.97,6.46
2025-04-22,1070,8.66,Studio,32,2,Fioul,Très bien isolé,22,16949,0,1947,1158,1084,1295,406,0,427,0,3,11,Non,7,6,Plus de 15 ans,18,3,3,Plus de 15 ans,4,4,4K,1.32,5.06,0.95,0.36,3.82,12.5
2025-05-09,1180,8.38,Appartement,71,2,Fioul,Très bien isolé,21,2356,0,5613,2364,1655,41,732,0,416,0,4,4,Non,2,5,Plus de 15 ans,44,4,6,5-10 ans,8,1,HD,1.76,2.79,0.57,0.88,1.12,7.8
2025-04-11,1180,9.58,Appartement,59,4,Bois,Très bien isolé,19,10487,0,1386,682,2455,906,553,0,24,0,0,4,Oui,4,3,10-15 ans,14,7,5,10-15 ans,8,2,HD,0.47,2.19,0.59,0.28,2.03,4.6
2025-04-16,1030,11.64,Studio,27,1,Gaz,Mal isolé,19,10013,0,3222,3170,2824,20,1969,0,396,0,0,3,Non,8,4,Plus de 15 ans,23,5,5,Plus de 15 ans,5,7,HD,2.94,2.36,0.54,0.46,6.55,14.02
2025-05-04,1080,11.37,Maison,194,2,Pompe à chaleur,Moyennement isolé,23,2363,8827,5464,4026,2623,844,1577,0,401,6177,2,2,Non,2,4,10-15 ans,50,6,6,Plus de 15 ans,9,4,4K,2.39,2.99,0.44,1.0,3.93,12.85
2025-06-02,1090,11.76,Studio,21,2,Bois,Très bien isolé,19,15011,0,7895,739,2962,21,602,0,286,0,3,3,Oui,4,6,10-15 ans,38,2,2,Plus de 15 ans,4,4,HD,0.56,4.72,0.7,0.76,3.75,8.7
2025-03-24,1050,8.96,Maison,160,4,Bois,Mal isolé,20,2279,0,209,2754,1076,227,726,0,257,3960,1,14,Non,5,6,Moins de 5 ans,12,5,6,Plus de 15 ans,4,0,4K,1.1,1.61,1.05,0.24,0.21,3.62
2025-03-15,1030,11.71,Colocation,63,2,Électrique,Très bien isolé,19,15473,0,2711,3171,2824,281,1919,1206,441,0,2,1,Oui,6,3,10-15 ans,28,6,6,Plus de 15 ans,5,8,HD,1.18,4.45,0.49,0.56,7.48,16.07
2025-05-16,1082,8.65,Appartement,83,4,Gaz,Moyennement isolé,20,2872,0,7770,179,1634,1316,780,0,6,0,1,9,Non,6,4,10-15 ans,18,6,6,Moins de 5 ans,7,8,4K,0.94,1.21,0.76,0.36,7.55,10.87
2025-03-17,1080,10.79,Appartement,61,1,Pompe à chaleur,Mal isolé,21,21769,0,1316,4415,2495,1366,1925,0,268,0,0,9,Non,4,6,Moins de 5 ans,50,5,6,Moins de 5 ans,7,4,4K,2.52,4.77,0.84,1.0,3.9,14.33
2025-03-14,1070,9.6,Appartement,80,2,Électrique,Bien isolé,21,12734,0,6950,2503,1166,1208,402,0,358,0,0,4,Oui,5,6,10-15 ans,26,8,5,Plus de 15 ans,3,1,HD,1.35,2.89,0.75,0.52,1.06,7.71
2025-01-06,1000,10.88,Colocation,60,3,Pompe à chaleur,Moyennement isolé,23,1885,0,4189,4041,1752,855,56,0,374,0,1,8,Oui,7,6,Moins de 5 ans,23,7,5,5-10 ans,2,7,HD,0.7,1.31,0.93,0.46,6.52,11.59
2025-05-13,1020,11.21,Colocation,149,1,Pompe à chaleur,Bien isolé,18,3664,0,7353,3500,2559,1617,1778,0,202,0,3,12,Oui,2,6,10-15 ans,28,7,5,10-15 ans,10,8,4K,4.18,2.66,1.04,0.56,7.58,14.52
2025-03-04,1200,9.7,Studio,29,4,Bois,Très bien isolé,23,12837,0,2241,871,1243,765,954,0,181,0,4,12,Non,3,3,10-15 ans,45,5,5,Plus de 15 ans,4,8,SD,0.22,4.7,0.8,0.9,7.42,13.16
2025-05-03,1180,8.32,Appartement,56,6,Électrique,Bien isolé,21,13195,14664,739,3230,2913,1293,1590,0,398,0,0,12,Non,5,6,Plus de 15 ans,28,6,5,10-15 ans,9,1,4K,0.37,3.7,0.97,0.56,1.18,7.57
2025-02-17,1030,11.46,Maison,114,1,Pompe à chaleur,Très bien isolé,23,18817,0,5059,3614,2583,1716,704,1988,161,0,0,12,Non,8,5,Moins de 5 ans,31,2,3,Moins de 5 ans,2,1,HD,2.78,4.16,0.95,0.62,1.0,10.71
2025-03-02,1040,10.23,Colocation,139,5,Pompe à chaleur,Bien isolé,21,16525,0,6822,1957,879,358,1658,0,194,0,5,3,Oui,6,6,5-10 ans,24,3,5,Moins de 5 ans,4,0,SD,0.74,6.08,0.72,0.48,0.12,7.91
2025-01-14,1140,9.4,Maison,134,2,Fioul,Mal isolé,22,2827,0,5933,3839,60,149,322,0,484,0,4,12,Non,7,5,10-15 ans,10,8,5,10-15 ans,8,0,HD,2.64,3.01,0.94,0.2,0.21,7.51
2025-06-20,1082,9.19,Colocation,104,5,Bois,Moyennement isolé,19,1640,5370,3067,3845,2846,1338,1042,0,273,0,1,2,Oui,3,4,Moins de 5 ans,6,8,5,10-15 ans,9,7,HD,0.64,1.5,0.55,0.12,6.61,9.94
2025-05-17,1040,8.59,Appartement,50,2,Gaz,Bien isolé,20,4716,6202,6008,4501,1913,1736,1889,2046,14,0,2,6,Non,7,3,Moins de 5 ans,36,6,5,5-10 ans,3,1,HD,1.45,2.72,0.6,0.72,1.05,6.5
2025-06-10,1200,11.43,Colocation,149,2,Électrique,Mal isolé,20,19787,0,18,786,1664,1372,850,0,417,0,3,6,Non,7,4,5-10 ans,14,8,2,Plus de 15 ans,3,0,SD,2.29,5.58,0.65,0.28,0.08,7.46
2024-12-24,1000,8.45,Appartement,113,5,Électrique,Moyennement isolé,21,18043,4827,4339,4481,294,1423,544,0,387,0,3,2,Non,7,6,10-15 ans,5,7,5,10-15 ans,5,4,HD,0.71,5.82,0.59,0.1,3.82,10.09
2025-02-21,1040,9.9,Colocation,114,4,Gaz,Mal isolé,19,2869,3863,4781,1479,2541,764,20,2767,487,0,1,6,Oui,2,4,5-10 ans,11,5,4,Moins de 5 ans,10,7,SD,1.17,1.52,0.7,0.22,6.58,9.69
2025-06-12,1000,11.09,Studio,22,3,Bois,Bien isolé,22,17536,11133,506,4937,75,554,699,0,44,0,3,13,Oui,6,3,5-10 ans,5,4,3,Moins de 5 ans,3,8,HD,0.35,5.97,0.97,0.1,7.41,15.31
2025-05-11,1083,10.76,Maison,94,1,Bois,Mal isolé,21,11504,0,4024,1521,760,562,220,1595,473,0,0,3,Non,2,3,Moins de 5 ans,48,6,4,5-10 ans,4,2,HD,2.98,2.53,0.43,0.96,1.96,9.17
2025-04-12,1080,11.18,Studio,20,3,Pompe à chaleur,Mal isolé,18,11324,0,1448,1048,549,107,1793,0,423,0,2,13,Non,2,4,5-10 ans,27,8,4,Moins de 5 ans,6,3,SD,0.67,3.41,0.88,0.54,2.88,9.41
2025-02-17,1120,8.24,Studio,31,2,Gaz,Moyennement isolé,18,16768,8637,5230,313,2262,847,233,0,231,0,0,7,Oui,3,5,5-10 ans,38,7,4,Plus de 15 ans,5,2,HD,1.46,3.92,0.8,0.76,1.98,7.69
2024-12-26,1030,10.6,Colocation,67,3,Pompe à chaleur,Moyennement isolé,22,12256,0,2588,3917,105,1008,1490,1963,431,0,2,9,Oui,7,5,Plus de 15 ans,41,7,6,Moins de 5 ans,3,7,SD,0.78,3.85,0.92,0.82,6.52,15.02
2025-04-23,1083,10.84,Appartement,63,3,Gaz,Mal isolé,21,3026,0,5655,3891,740,1673,1018,593,374,0,0,2,Non,3,3,Moins de 5 ans,39,3,2,5-10 ans,4,0,4K,1.15,1.05,0.4,0.78,0.16,2.95
2025-01-08,1080,8.93,Maison,148,4,Fioul,Très bien isolé,20,8123,0,5548,561,2895,1804,1057,0,117,6734,0,3,Non,3,6,5-10 ans,38,5,5,Moins de 5 ans,5,0,HD,1.29,2.46,0.59,0.76,0.16,4.5
2025-02-20,1030,11.79,Colocation,124,4,Bois,Très bien isolé,18,24288,0,6663,3759,2525,874,576,1886,448,0,0,14,Non,6,5,5-10 ans,28,3,6,Moins de 5 ans,5,8,HD,0.82,5.32,1.01,0.56,7.47,17.31
2025-04-24,1080,11.57,Colocation,140,3,Fioul,Moyennement isolé,23,3979,0,2937,2070,1151,1936,349,0,105,0,0,5,Non,8,5,Moins de 5 ans,5,6,6,5-10 ans,3,7,SD,1.7,1.03,0.67,0.1,6.52,12.0
2025-01-01,1140,8.76,Studio,37,2,Gaz,Moyennement isolé,22,20676,0,7103,4877,1775,588,1380,0,357,6106,1,2,Non,4,6,Plus de 15 ans,36,4,3,Moins de 5 ans,9,6,4K,1.32,5.78,0.56,0.72,5.71,12.54
2025-04-11,1210,9.97,Appartement,54,1,Gaz,Mal isolé,19,3741,0,4261,4662,1967,523,1599,0,215,0,5,1,Non,6,3,10-15 ans,48,7,2,Plus de 15 ans,6,1,4K,3.48,3.71,0.39,0.96,1.1,10.09
2025-01-10,1050,11.65,Studio,30,1,Pompe à chaleur,Moyennement isolé,22,5924,409,3116,3487,267,1741,1644,0,7,5351,0,8,Non,3,5,5-10 ans,22,8,5,Plus de 15 ans,3,3,SD,1.6,2.07,0.74,0.44,2.86,7.35
2025-01-05,1082,9.1,Colocation,85,3,Gaz,Mal isolé,20,6311,0,5356,4621,2293,417,331,0,493,0,2,14,Non,2,4,5-10 ans,19,2,5,10-15 ans,6,3,SD,1.33,2.77,0.92,0.38,2.88,7.44
2025-01-26,1180,9.42,Studio,31,1,Bois,Mal isolé,22,16924,0,5381,4069,1939,986,1631,219,157,0,2,7,Oui,6,5,5-10 ans,34,8,2,Plus de 15 ans,8,5,HD,1.62,4.82,0.83,0.68,4.73,11.57
2025-04-26,1190,8.12,Maison,146,2,Électrique,Moyennement isolé,21,14175,0,3288,2455,1519,1420,545,0,156,3219,1,9,Non,3,5,5-10 ans,15,6,3,Plus de 15 ans,5,0,4K,2.11,3.93,0.78,0.3,0.19,8.62
2025-05-26,1081,11.54,Colocation,82,1,Électrique,Bien isolé,23,559,0,293,239,1449,1978,876,0,174,0,3,10,Oui,6,6,Moins de 5 ans,31,7,2,Moins de 5 ans,10,6,SD,2.54,1.67,1.0,0.62,5.64,11.85
2025-04-19,1200,8.73,Colocation,146,2,Gaz,Mal isolé,22,10899,0,262,2959,308,1048,1677,0,151,0,4,3,Non,2,4,Moins de 5 ans,37,8,6,10-15 ans,9,4,SD,2.51,4.44,0.48,0.74,3.86,11.49
2025-02-06,1130,8.07,Studio,33,4,Électrique,Bien isolé,21,13357,0,7276,40,752,456,687,2980,403,5166,2,2,Oui,2,4,Moins de 5 ans,20,2,4,Moins de 5 ans,2,2,HD,0.44,4.34,0.54,0.4,1.93,6.38
